Left context;Center;Right context;Publ_year;Sphere;Type;Medium;;Full context
  ; без умолку ; болтала новым, свободным и ;2015 ;художественная ;роман ;книга ;; Без умолку болтала новым, свободным и полным голосом без обычной своей хрипотцы, будто дом и ферма принадлежали ей и Леону, а глаза, насыщенные всей этой зеленью, и медью, и красным деревом, и искрами каминного огня, молча умоляли только об одном: давай здесь останемся, давай!  [Дина Рубина. Русская канарейка. Блудный сын (2014)] [омонимия не снята]
  Колька трещал ; без умолку ;, курил, распахнув форточку, тормозил ;2013 ;художественная ;роман ;журнал ;; Колька трещал без умолку, курил, распахнув форточку, тормозил машину и бегал, а иногда плыл по сугробу, просматривая проходы меж ползучих кедров, тянущих руки из-под снега.  [Виктор Ремизов. Воля вольная // «Новый мир», 2013] [омонимия не снята]
 меня, при этом она болтала ; без умолку ;, а я не могла ; ;электронная коммуникация, нехудожественная ;форум ;электронный текст ;; [Лиси4ка, жен]   Например, моя преподавательница по истории искусства на экзамене бывало начинала отвечать за меня, при этом она болтала без умолку, а я не могла её перебить.  [коллективный. Форум: Как стать общительнее (2013)] [омонимия не снята]
  Бабушка не церемонится, болтает ; без умолку ;, и за это ей ;2012 ;художественная ;роман ;книга ;; Бабушка не церемонится, болтает без умолку, и за это ей отдельное спасибо.  [Екатерина Завершнева. Высотка (2012)] [омонимия не снята]
 преодоленный, ? то есть просто говорил ; без умолку ;, заваливая нас датами, подробностями ;2013 ;художественная ;роман ;книга ;; Все более закрываясь, Двигубский, или так помнится мне теперь, все сильнее впадал в тон своей ранней молодости, к тому времени, о котором я сейчас рассказываю, уже, в общем, преодоленный, ? то есть просто говорил без умолку, заваливая нас датами, подробностями строительства уже видимых, или невидимых, потому что более не существующих, давно снесенных или сгоревших церквей и дворцов, не слушая и не ожидая ответа, избегая Фебовых  взглядов, улыбаясь преувеличенно белозубой улыбкой…, так что Феб, в конце концов, показалось мне, как бы внутренне махнул на него рукою, почти перестал слушать, под конец сам впал в тот иронический, мефистофельский, как я называл его, тон, который бывал ему свойствен, когда что-нибудь вызывало, или кто-нибудь вызывал у него, что тоже случалось, раздражение и скуку.  [Алексей Макушинский. Город в долине (2012)] [омонимия не снята]
 Пашей молчали.  Только Ира трещала ; без умолку ;:   ? Нет, точно не перелом ;2012 ;художественная ;роман ;книга ;; Лида с Пашей молчали.  Только Ира трещала без умолку:   ? Нет, точно не перелом, скорее всего, растяжение или сильный ушиб, надо перевязать эластичным бинтом, или в травмопункт сходить.  [Маша Трауб. Замочная скважина (2012)] [омонимия не снята]
 показали книжки, рисунки и болтали ; без умолку ;.  ;2012 ;художественная ;роман ;книга ;; Даже девочки сразу притащили его в комнату, показали книжки, рисунки и болтали без умолку.  [Маша Трауб. Замочная скважина (2012)] [омонимия не снята]
 неприятное осталось.  Тамара Павловна говорила ; без умолку ;.  Вета только поняла, что ;2012 ;художественная ;роман ;книга ;; Только ощущение неприятное осталось.  Тамара Павловна говорила без умолку.  Вета только поняла, что к ним должен кто-то приехать.  [Маша Трауб. Ласточ…ка (2012)] [омонимия не снята]
 с Ветой молчали.  Ольга говорила ; без умолку ;.  Юрик планирует веранду к ;2012 ;художественная ;роман ;книга ;; Мать наварила щей, Юрик с Ветой молчали.  Ольга говорила без умолку.  Юрик планирует веранду к дому пристроить, дом покрасить…  [Маша Трауб. Ласточ…ка (2012)] [омонимия не снята]
 и шатается, а стриженая болтает ; без умолку ;.  ;2007 ;художественная ;повесть ;книга ;; Кровать скрипит и шатается, а стриженая болтает без умолку.  [Дина Сабитова. Где нет зимы (2011)] [омонимия не снята]
  Как раньше.  Лиля говорила ; без умолку ;.  Теперь она была занята ;2011 ;художественная ;роман ;книга ;; Как раньше.  Лиля говорила без умолку.  Теперь она была занята не разъездом, а съездом.  [Маша Трауб. Нам выходить на следующей (2011)] [омонимия не снята]
 тут же и все говорила ; без умолку ;.  ;2010 ;публицистика, нехудожественная ;монография ;журнал ;; Но мать все время была тут же и все говорила без умолку.  [Игорь Волгин. Уйти ото всех. Лев Толстой как русский скиталец // «Октябрь», 2010] [омонимия не снята]
   Зато щебетала ; без умолку ; его дочь, Августа, сидевшая ;2010 ;художественная ;роман ;журнал ;;  Зато щебетала без умолку его дочь, Августа, сидевшая, как и положено пятнадцатилетней немецкой невесте, за фортепьянами.  [Борис Евсеев. Евстигней // «Октябрь», 2010] [омонимия не снята]
 в десятеро интересней, и я ; без умолку ; объяснял разные подробности о ;2010 ;публицистика ,  нехудожественная ;статья ;журнал ;; Мне показалась, моя выставка при нем в десятеро интересней, и я без умолку объяснял разные подробности о своих работах.  [Юлия Кудрина. «Распространение искусства есть дело государственной важности» // «Знание - сила», 2010] [омонимия не снята]
 Гавриком ? он бегал, орал, болтал ; без умолку ;, дрыгал ногами и ерзал ; ;бытовая ,  нехудожественная ;письмо личное ;электронный текст ;; Смеялась над Гавриком ? он бегал, орал, болтал без умолку, дрыгал ногами и ерзал на диване, таращя глаза.  [М. Письма из Санкт-Петербурга подруге в Саратов (2010)] [омонимия не снята]
 мрачным, то молчал, то говорил ; без умолку ;, кидал быстрые и нежные ;2010 ;художественная ;роман ;журнал ;; Он испробовал их силу на выбранном объекте (это была еще не Светлана): ревновал, становился мрачным, то молчал, то говорил без умолку, кидал быстрые и нежные взгляды, а потом стыдливые и дерзкие, испробовал даже слезу, изумлял невинность (рассказывал похабные анекдоты), пугал отчаяньем (по карнизу ходил из окна в окно), забавлял приятной лестью (вслух оценивал ноги избранницы), умом и страстью побеждал предубежденья (на школьном вечере,под  лестницей, хватал за руки, за талию, за грудь, ловил губами ее губы, прижимался) ? и уже почти добился своего, но вдруг охладел.  [Алексей Слаповский. Большая Книга Перемен // «Волга», 2010] [омонимия не снята]
  Нонна говорила ; без умолку ;, перепрыгивая с одной темы ;2010 ;художественная ;роман ;книга ;; Нонна говорила без умолку, перепрыгивая с одной темы на другую ? про то, как сдавала экзамен.  [Маша Трауб. Плохая мать (2010)] [омонимия не снята]
   Девочка говорила ; без умолку ;, а я слушала ее ;2009 ;художественная ;повесть ;книга ;;  Девочка говорила без умолку, а я слушала ее, слушала.  [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята]
 мы шли домой, Ира трещала ; без умолку ;.  ;2009 ;художественная ;повесть ;книга ;;  Пока мы шли домой, Ира трещала без умолку.  [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята]
 не висел, никто не болтал ; без умолку ;.  ;2009 ;художественная ;повесть ;книга ;; Никто мне не подсказывал, но зато и никто надо мной не висел, никто не болтал без умолку.  [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята]
 с ней знакома.  Я говорила ; без умолку ;.  А баба Люба слушала ;2009 ;художественная ;повесть ;книга ;; Я как будто всю жизнь была с ней знакома.  Я говорила без умолку.  А баба Люба слушала-слушала…  [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята]
  Он болтает ; без умолку ; ? если бы каждое его ;2009 ;художественная ;роман ;книга ;; Он болтает без умолку ? если бы каждое его слово превращалось в окурок, Дом бы давно погребло под ними.  [Мариам Петросян. Дом, в котором... (2009)] [омонимия не снята]
   Этот Успенский болтал ; без умолку ;, но все время заикался ;2010 ;художественная ;роман ;журнал ;;  Этот Успенский болтал без умолку, но все время заикался.  [Михаил Шишкин. Письмовник (2009) // «Знамя», 2010] [омонимия не снята]
  Тамара, распаковывая чемоданы, щебечет ; без умолку ; о прелестях дайвинга ? видать ;2009 ;художественная ;роман ;книга ;; Тамара, распаковывая чемоданы, щебечет без умолку о прелестях дайвинга ? видать, намолчалась там, под водой.  [Олег Зайончковский. Счастье возможно: роман нашего времени (2008)] [омонимия не снята]
 того, чтобы, как раньше, говорить ; без умолку ; на романтические темы, о ;2007 ;художественная ;роман ;журнал ;; Девушки менялись часто ? это можно было определить по тому, как Гиттис мрачно молчал вместо того, чтобы, как раньше, говорить без умолку на романтические темы, о том, как его любят и ценят и как он учит жизни, как поучает очередную пассию.  [Александр Иличевский. Матисс // «Новый Мир», 2007] [омонимия не снята]
 в женщину.  В ресторане болтала ; без умолку ;.  Взвинченная матерью, среди прочего ;2007 ;художественная ;роман ;журнал ;; За последние два года она превратилась из девочки в женщину.  В ресторане болтала без умолку.  Взвинченная матерью, среди прочего сообщила:  [Александр Иличевский. Матисс // «Новый Мир», 2007] [омонимия не снята]
 Африке практически не интересовало, они ; без умолку ; болтали друг с другом ;2006 ;публицистика ,  нехудожественная ;статья ;журнал ;; Двух итальянских журналисток происходящее в Африке практически не интересовало, они без умолку болтали друг с другом по-итальянски, и отвлечь их от этого занятия можно было только шоппингом.  [О. Белоконева. Африканские ямбы // «Наука и жизнь», 2006] [омонимия не снята]
   Но что за смысл ; без умолку ; твердить,  Что это надо ;2006 ;публицистика ,  нехудожественная ;статья ;журнал ;;  Но что за смысл без умолку твердить,  Что это надо сделать, если к делу Есть воля, сила, право и предлог?  [Т. Тархов. Меж двух времен. Хроники Уильяма Шекспира // «Наука и жизнь», 2006] [омонимия не снята]
 более что телефон продолжал звонить ; без умолку ;, кто-то будто знал наверняка ;2005 ;художественная ;роман ;книга ;; Поколебавшись, покачавшись в раздумье из стороны в сторону, Пафнутьев решился все-таки взять трубку, тем более что телефон продолжал звонить без умолку, кто-то будто знал наверняка, что тут есть с кем поговорить.  [Виктор Пронин. Банда 8 (2005)] [омонимия не снята]
   Следующие полчаса Женечка ; без умолку ; тарахтела про свою любовь ;2005 ;художественная ;роман ;книга ;;  Следующие полчаса Женечка без умолку тарахтела про свою любовь к животным, про свою «отпадную» квартирку, в которой у Бандита будет своя личная комната, про куриные грудки, которые домработница готовит специально для кошек по особому диетическому рецепту… Голова у меня пошла кругом.  [Татьяна Сахарова. Добрая фея с острыми зубками (2005)] [омонимия не снята]
 двоих.  Он говорил и говорил ; без умолку ;.  Наверное, боялся, что нас ;2003 ;художественная ;роман ;журнал ;;  Поэтому Гоше-Жорику пришлось отдуваться за нас двоих.  Он говорил и говорил без умолку.  Наверное, боялся, что нас могут выгнать.  [Андрей Геласимов. Рахиль (2004) // «Октябрь», 2003] [омонимия не снята]
 температурой девочка, как правило, болтает ; без умолку ;.  ;2004 ;художественная ;роман ;книга ;; Даже с очень высокой температурой девочка, как правило, болтает без умолку.  [Дарья Донцова. Уха из золотой рыбки (2004)] [омонимия не снята]
 темень.  Маруська, как всегда, болтала ; без умолку ;.  Из-за ее привычки ни ;2004 ;художественная ;роман ;книга ;;  Вырулив на шоссе, я поплелась черепашьим шагом, напряженно всматриваясь в непроглядную темень.  Маруська, как всегда, болтала без умолку.  Из-за ее привычки ни на секунду не закрывать рта я не слишком-то люблю служить шофером у Мани.  [Дарья Донцова. Уха из золотой рыбки (2004)] [омонимия не снята]
  Она говорила ; без умолку ;, обсуждая все подряд ? накладные ;2004 ;художественная ;роман ;книга ;; Она говорила без умолку, обсуждая все подряд ? накладные ногти, новую диету, у какого мастера лучше постричь собаку…  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]
 даже пугало Валю ? он говорил ; без умолку ;, смеялся, придумывал какие-то шутки ;2004 ;художественная ;роман ;книга ;; Его счастье было столь безграничным, что это даже пугало Валю ? он говорил без умолку, смеялся, придумывал какие-то шутки.  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]
   Любочка тараторит ; без умолку ;, через полчаса у меня ;2005 ;художественная ;роман ;журнал ;;  Любочка тараторит без умолку, через полчаса у меня начинает болеть голова, и я не могу отвечать.  [Михаил Шишкин. Венерин волос (2004) // «Знамя», 2005] [омонимия не снята]
 все надо, всюду она лезет, ; без умолку ; разговаривает.  ;2005 ;электронная коммуникация ,  нехудожественная ;форум ;электронный текст ;; Ей наоборот везде все надо, всюду она лезет, без умолку разговаривает.  [Женщина + мужчина: Брак (форум) (2004)] [омонимия не снята]
 может, еще теплей будет, ? тараторила ; без умолку ; словоохотливая бабуля, квартира которой ;2004;публицистика ,  нехудожественная ;статья ;газета ;; Этим летом слесаря из подвалов не вылезали, может, еще теплей будет, ? тараторила без умолку словоохотливая бабуля, квартира которой находится в пятиэтажке.  [Поселок с лицом на восток (2004) // «Биробиджанер Штерн», 2004.12.07] [омонимия не снята]
 Молчит Халидов.  Один Вован трещит ; без умолку ;.   Чтобы там ни думал ;2004 ;художественная ;роман ;книга ;; Молчит Халидов.  Один Вован трещит без умолку.   Чтобы там ни думал сейчас Валентин Николаев, я это услышать и почувствовать не могу: отключен приёмник?  [Олег Гладов. Любовь стратегического назначения (2000-2003)] [омонимия не снята]
  Трещать ; без умолку ;, жаловаться навзрыд, поминутно апеллировать ;2003;публицистика ,  нехудожественная ;статья ;газета ;; Трещать без умолку, жаловаться навзрыд, поминутно апеллировать к Всевышнему, казать всему честному люду свои болячки, рваные подолы, бесхозных и безотцовых идиотов-детей, громко оплакивать горемычную судьбу на перекрестке миров ? к такому сугубо дамскому мазохизму тяготели исключительно потомки великого Рима, дети вина и макарон, импозантные прохиндеи с фальшивыми перстнями.  [Денис Горелов. Баба и воз. К 60-летию неореализма стала очевидной его глубоко женская природа (2003) // «Известия», 2003.02.20] [омонимия не снята]
 думает себе, внутри сидит, треплется ; без умолку ; ? был, пока с ней ;2003 ;публицистика ,  нехудожественная ;очерк ;газета ;; Где я ? ну, тот я, что вечно все что то думает себе, внутри сидит, треплется без умолку ? был, пока с ней разговаривал?  [Юрий Гук. Время напрягов — внутреннее расследование // «Пятое измерение», 2003] [омонимия не снята]
  Тарахтели ; без умолку ; мы с Милочкой… читали ;2004 ;публицистика ,  нехудожественная ;мемуары ;книга ;; Тарахтели без умолку мы с Милочкой… читали модные стишки дуэтом:  [Людмила Гурченко. Аплодисменты (1994-2003)] [омонимия не снята]
 понял.  На репетициях я тарахтела ; без умолку ;.  Рассказывала анекдотики, копировала и ;2004 ;публицистика ,  нехудожественная ;мемуары ;книга ;; Но Михалков про меня давно уже все понял.  На репетициях я тарахтела без умолку.  Рассказывала анекдотики, копировала и шаржировала, хихикала и пела на разные голоса, рассказывала про папу, крутилась и вертелась, забыв, что мне сорок два… А к роли нет-нет да и вернемся.  [Людмила Гурченко. Аплодисменты (1994-2003)] [омонимия не снята]
 ходу Мовчун, привыкший с ней ; без умолку ; болтать ? из опасения, что ;2003 ;художественная ;повесть ;журнал ;;  ? И нечему тут удивляться, ? искательно сказал ей на ходу Мовчун, привыкший с ней без умолку болтать ? из опасения, что, если замолчит хотя бы на минуту, она услышит в том молчании угрозу и в самом деле тяпнет за каблук: ? Так мы живем, без телефона.  [Андрей Дмитриев. Призрак театра (2002-2003) // «Знамя», 2003] [омонимия не снята]
 пути Ленинид и Кристя болтали ; без умолку ; и довели меня почти ;2003 ;художественная ;роман ;книга ;;  Естественно, на обратном пути Ленинид и Кристя болтали без умолку и довели меня почти до бешенства.  [Дарья Донцова. Микстура от косоглазия (2003)] [омонимия не снята]
 таких нет?   Бесхитростный ребенок тарахтел ; без умолку ;.  Чем больше Зиночка говорила ;2003 ;художественная ;роман ;книга ;; Ну почему в школе таких нет?   Бесхитростный ребенок тарахтел без умолку.  Чем больше Зиночка говорила, тем больше нравилась мне Елена Тимофеевна.  [Дарья Донцова. Микстура от косоглазия (2003)] [омонимия не снята]
  И разговариваем, разговариваем ; без умолку ;, перебивая друг друга.  ;2003;публицистика ,  нехудожественная ;очерк ;газета ;; И разговариваем, разговариваем без умолку, перебивая друг друга.  [Капитолина Кожевникова. У парадного подъезда (2003) // «Вестник США», 2003.07.23] [омонимия не снята]
  Обычно в застолье сам ; без умолку ; говорит: скуку глушит, как ;2003 ;публицистика, нехудожественная ;мемуары ;книга ;; Обычно в застолье сам без умолку говорит: скуку глушит, как я потом догадалась.  [Н. В. Кожевникова. Сосед по Лаврухе (2003)] [омонимия не снята]
 расцветать, улыбаться и говорить, говорить ; без умолку ;, как узник, выпущенный из ;2003 ;публицистика, нехудожественная ;мемуары ;книга ;; И вдруг уже в самолете на пути в Ереван стала на глазах расцветать, улыбаться и говорить, говорить без умолку, как узник, выпущенный из тюрьмы на волю.  [Н. В. Кожевникова. Сосед по Лаврухе (2003)] [омонимия не снята]
 уже всё забыл и болтал ; без умолку ;.  ;2003 ;художественная ;сказка ;журнал ;;   А Ёжик уже всё забыл и болтал без умолку.  [Сергей Козлов. Ни слова // «Мурзилка», 2003] [омонимия не снята]
 пресловутой жилищно-коммунальной реформы, о которой ; без умолку ; твердят все средства массовой ;2003;публицистика ,  нехудожественная ;интервью ;газета ;;  Далеко не секрет, что одной из актуальнейших проблем сегодняшнего дня является довольно сложное претворение в жизнь пресловутой жилищно-коммунальной реформы, о которой без умолку твердят все средства массовой информации.  [Юрий Козлов. «Не бывает колбасы по цене хлеба…» (2003) // «Встреча» (Дубна), 2003.02.12] [омонимия не снята]
 пенсионной реформы всевозможные СМИ твердили ; без умолку ; несколько лет подряд.  ;2003;публицистика ,  нехудожественная ;интервью ;газета ;;  О необходимости проведения в Российской Федерации пенсионной реформы всевозможные СМИ твердили без умолку несколько лет подряд.  [Юрий Козлов. Через 2-3 года пенсионеров станет больше… (2003) // «Встреча» (Дубна), 2003.04.09] [омонимия не снята]
  Валька ; без умолку ; болтала с подружками, и ;2000 ;художественная ;повесть ;книга ;; Валька без умолку болтала с подружками, и будь я постарше, я легко поняла бы, что происходит у нас в доме.  [Ирина Муравьева. Ляля, Наташа, Тома (1991)] [омонимия не снята]
 на молчание!  ), зато отец говорит ; без умолку ;.   Но фильм начинается не ;1991 ;публицистика ,  нехудожественная ;монография ;книга ;; У Малыша завязано горло ? его только что оперировали и ему нельзя говорить (Тарковский не устает изыскивать предлоги, обрекающие человека на молчание!  ), зато отец говорит без умолку.   Но фильм начинается не с этого: не с долгого, бесконечно широкого плана, где маленькие человеческие фигурки копошатся у сухого дерева, а как бы с пролога.  [М. Туровская. 7 с 1/2 и Фильмы Андрея Тарковского (1991)] [омонимия не снята]
 свое мастерство и скорость, говорят ; без умолку ; о машинах, моторах, о ;1997 ;публицистика ,  нехудожественная ;мемуары ;книга ;; Всю дорогу демонстрируют мне свое мастерство и скорость, говорят без умолку о машинах, моторах, о скоростях.  [Георгий Бурков. Хроника сердца (1953-1990)] [омонимия не снята]
 в клетке, и говорил, говорил ; без умолку ;.  ;1990 ;художественная ;мемуары, роман ;книга ;; Маленький, беленький, живой, в сером костюмчике, он напоминал белую крысу, бегал из угла в угол, как крыса в клетке, и говорил, говорил без умолку.  [С. М. Голицын. Записки уцелевшего (1980-1989)] [омонимия не снята]
 работу или с работы он ; без умолку ; мне рассказывал, да еще ;1990 ;художественная ;мемуары, роман ;книга ;; По дороге на работу или с работы он без умолку мне рассказывал, да еще по вечерам я иногда заходил в его уютную хибарку слушать его рассказы о дореволюционной Самаре.  [С. М. Голицын. Записки уцелевшего (1980-1989)] [омонимия не снята]
   Она что-то ; без умолку ; болтала, удивляясь, я это ;1989 ;художественная ;роман ;книга ;;  Она что-то без умолку болтала, удивляясь, я это заметил, что я не начинаю за ней ухаживать.  [Фазиль Искандер. Сандро из Чегема (Книга 2) (1989)] [омонимия не снята]
  ? Раньше, бывало, телефон трещит ; без умолку ;, а сейчас!  ;2001 ;художественная ;повесть ;книга ;; ? Раньше, бывало, телефон трещит без умолку, а сейчас!  [Борис Хазанов. Страх. Повесть ни о чем (1989)] [омонимия не снята]
   ; без умолку ; говоря и не заботясь ;1999 ;художественная ;роман ;книга ;;  Без умолку говоря и не заботясь при этом, слушают его или нет, Семен открыл наконец огромный ржавый замок, сдвинул засовы, распахнул заскрипевшие ворота.  [Борис Васильев. Были и небыли. Книга 1 (1988)] [омонимия не снята]
   Старик говорил ; без умолку ;, путано и непоследовательно, а ;1999 ;художественная ;роман ;книга ;;  Старик говорил без умолку, путано и непоследовательно, а глаза оставались все теми же мучительно напряженными, ловящими что-то ушедшее.  [Борис Васильев. Были и небыли. Книга 1 (1988)] [омонимия не снята]
 какие-то обрывки из того, что ; без умолку ; болтал молодой офицер.  ;1999 ;художественная ;роман ;книга ;; А Оля все никак не могла прийти в себя, собраться с мыслями, и до нее доходили какие-то обрывки из того, что без умолку болтал молодой офицер.  [Борис Васильев. Были и небыли. Книга 2 (1988)] [омонимия не снята]
 русыми прядями, детская писательница говорила ; без умолку ;, все одушевляясь, и часам ;2009 ;художественная проза ;роман ;книга ;; В незапахнутом халате, держа плоскую пишущую машинку на коленях, растрепанная, с выбившимися из-под дорогого гребня русыми прядями, детская писательница говорила без умолку, все одушевляясь, и часам к трем дня начинала сипнуть и трястись явственней и явственней.  [В. Ф. Кормер. Наследство (1987)] [омонимия не снята]
 японок.  Представьте себе, мы болтали ; без умолку ;.   Изредка то одна, то ;2001 ;публицистика ,  нехудожественная ;мемуары, эссе ;книга ;; Это было прекрасно ? я в окружении пяти японок.  Представьте себе, мы болтали без умолку.   Изредка то одна, то другая убегали на примерку в театр, а в конце к нам присоединились и портнихи.  [Анатолий Эфрос. Профессия: режиссер (1975-1987)] [омонимия не снята]
   Морковкина говорила ; без умолку ;, ни о чем.  ;2004 ;художественная проза ;повесть ;книга ;;  Морковкина говорила без умолку, ни о чем.  [Н. В. Кожевникова. В легком жанре (1986)] [омонимия не снята]
 Дама попалась из бойких, щебетала ; без умолку ; сначала на дачные темы ;2011 ;художественная проза ;повесть ;книга ;; Дама попалась из бойких, щебетала без умолку сначала на дачные темы, затем на театральные, удивлялась, почему Катерина Ивановна не играет в Харбинском драматическом театре.  [Н. И. Ильина. Дороги и судьбы (1957-1985)] [омонимия не снята]
  Трещала ; без умолку ; и без разбора, но ;2004 ;художественная проза ;повесть ;книга ;; Трещала без умолку и без разбора, но в этой куче новостей все же было зерно: она, Нина, не провисает в безвоздушном пространстве, а довольно прочно стоит на ногах и, что бы там ни было, не помрет с голоду, через местком путевки в санаторий добудет и, между прочим, ей удалось устроить Нюсю в ведомственный детский сад, хотя вот так, с улицы, там никакого не принимали  .  [Н. В. Кожевникова. Ловушка (1985)] [омонимия не снята]
" в рукав, теребили, тянули куда-то; "; без умолку ; тараторила, смеясь, расспрашивала его ;1985 ;художественная ;роман ;книга ;;" Она улыбалась, открывая ровные глянцевитые зубы, и лакированные темные, как птичья кровь, ноготки ее впивались ему в рукав, теребили, тянули куда-то; без умолку тараторила, смеясь, расспрашивала его о чем-то, а он механически и, видимо, внешне осмысленно отвечал ей, почему-то стоял посреди коридора и, упираясь, как застенчивый дошколенок, никак не хотел пройти дальше.  [Еремей Парнов. Третий глаз Шивы (1985)] [омонимия не снята]"
 очень болтливым, этот Буба, трещал ; без умолку ; обо всем, высунувшись из ;1984 ;художественная ;роман ;книга ;;  Он оказался очень болтливым, этот Буба, трещал без умолку обо всем, высунувшись из кармана моих штанов, словно из окна, и когда я ходил в магазин, то вынужден бывал затыкать ему рот кляпом, ибо я не хотел, чтобы односельчане узнали о моем уродстве и разнесли по всему свету молву о нем.  [Анатолий Ким. Белка (1984)] [омонимия не снята]
 Усмехался, зло молчал или трещал ; без умолку ;?  ;1984 ;художественная ;роман ;книга ;; Усмехался, зло молчал или трещал без умолку?  [Виль Липатов. И это все о нем (1984)] [омонимия не снята]
 свойство у таких людей: говорить ; без умолку ; ни о чем.  ;1996 ;публицистика ,  нехудожественная ;дневник, записные книжки ;книга ;; Поразительное свойство у таких людей: говорить без умолку ни о чем.  [Ю. М. Нагибин. Дневник  (1983)] [омонимия не снята]
