Left context;Center;Right context;Publ_year;Sphere;Type;Medium;Full context
  ? ; без удержу ; размечтался вслух дед Щукарь ;1960 ;художественная ;роман ;книга ; ? без удержу размечтался вслух дед Щукарь и, поощряемый сочувственным молчанием Антипа, продолжал: ? А жеребцы, признаться, мне надоскучили, да и зимняя езда не по мне.  [М. А. Шолохов. Поднятая целина. Книга 2 (1959)] [омонимия не снята]
 ночь и, читая, плакал, плакал ; без удержу ;.  ;2002 ;публицистика ,  нехудожественная ;дневник, записные книжки ;книга ; Он читал всю ночь и, читая, плакал, плакал без удержу.  [Л. Я. Гинзбург. Записные книжки. Воспоминания. Эссе (1920-1943)] [омонимия не снята]
  Ты все ; без удержу ; по шахтам лазишь».  ;1954 ;художественная ;рассказ ;книга ; Ты все без удержу по шахтам лазишь».  [И. А. Ефремов. Путями старых горняков (1942-1943)] [омонимия не снята]
 глотку нашим некоторым идиотам, болтающим ; без удержу ; против «капиталистов».  ;2004 ;бытовая ,  нехудожественная ;дневник, записные книжки ;книга ; Я надеюсь, что это заткнет глотку нашим некоторым идиотам, болтающим без удержу против «капиталистов».  [Г. С. Эфрон. Дневники. Т. 2 (1941-1943)] [омонимия не снята]
 свирепая.  Обвинские кони были горячи ; без удержу ;.  Андрей Воронихин вдруг сказал ;1966 ;художественная ;рассказ ;книга ; Ямщичья гоньба была свирепая.  Обвинские кони были горячи без удержу.  Андрей Воронихин вдруг сказал ямщику:  [Ю. Н. Тынянов. Гражданин Очер (1942)] [омонимия не снята]
   Слушатели смеются ; без удержу ;, и такой же могучий ;1982 ;публицистика ,  нехудожественная ;статья ;книга ;  Слушатели смеются без удержу, и такой же могучий смех слышится в той толпе, которая обступила садовый бильярд и следит за чемпионатом двух дюжих танкистов, орудующих костылями, как киями.  [К. И. Чуковский. Госпиталь № 11 (1941)] [омонимия не снята]
 в сомнительной среде и болтал ; без удержу ;, да к этому ? антисоветские ;2004 ;публицистика ,  нехудожественная ;дневник, записные книжки ;книга ;" Если принять во внимание, что Алешка ? лгун, интриган, болтун и к тому же дурак; что он ничего не делал, вращался в сомнительной среде и болтал без удержу, да к этому ? антисоветские разговоры, то показания Али действенны, и Алешку ликвидируют.  [Г. С. Эфрон. Дневники. Т. 1. 1940 (1940)] [омонимия не снята]"
 но на Полю не подействовало: ; без удержу ; разбирало ее неистово-сладостное ;1956 ;художественная ;роман ;книга ;  Сказал смирнехонько, но на Полю не подействовало: без удержу разбирало ее неистово-сладостное жестокосердие.  [А. Г. Малышкин. Люди из захолустья (1938)] [омонимия не снята]
 актер, вразрез с внутренним смыслом, ; без удержу ; и без толку машет ;1938 ;учебно-научная ,  нехудожественная ;монография ;книга ; Но если актер, вразрез с внутренним смыслом, без удержу и без толку машет руками и принимает позы, хотя и очень красивые, то этого долго смотреть не станешь, во-первых, потому, что это ни зрителю, ни изображаемому действующему лицу пьесы не нужно, а во-вторых, потому, что при таком извержении жестикуляций и движений они постоянно повторяются и скоро приедаются.  [К. С. Станиславский. Работа актера над собой (1938)] [омонимия не снята]
  Солнечные пятна ; без удержу ; мелькают по листве, по ;2001 ;художественная ;роман ;книга ; Солнечные пятна без удержу мелькают по листве, по стволам, по румяным пуговкам брусники ? так пестро и беспечно, что, прищурившись, можно подумать, будто играют в пятнашки ребята в зеленых, розовых, голубых рубашонках.  [Ю. П. Анненков (Б. Темирязев). Повесть о пустяках (1934)] [омонимия не снята]
 о молочных берегах, о воле ; без удержу ;, о празднике была одной ;1991 ;художественная ;роман ;книга ; Однако разве не исконная мечта о молочных берегах, о воле без удержу, о празднике была одной из главнейших причин русской революционности?  [И. А. Бунин. Жизнь Арсеньева. Юность (1927-1933)] [омонимия не снята]
" выпускаемого из открытого крана; лился "; без удержу ;"; жестикуляция точно на сцене ";1990 ;художественная ;мемуары ;книга ;"  Пурпуровой кистью халата взмахнул, шебурша повисающими широчайшими складками, слишком стремительным для его возраста жестом вскочив; приседая в глубоком, придворном, испанском поклоне, с отводом большой косолапой руки, опрокинул в меня ураганные домыслы; и поразило шипящее бешенство речи его, кипятка, выпускаемого из открытого крана; лился без удержу; жестикуляция точно на сцене: расклоны с отставом руки и ноги, с перегибом сутулого корпуса; он ? заскандировал: точно поэму читал  мне.  [Андрей Белый. Начало века (1930)] [омонимия не снята]"
" женщины; когда приезжал инквизитор, все "; без удержу ; доносили друг на друга ;1928 ;учебно-научная ,  нехудожественная ;монография ;книга ;" Были деревни, где не оставалось ни одной женщины; когда приезжал инквизитор, все без удержу доносили друг на друга, чтобы этим путем уцелеть самим.  [Ю. В. Каннабих. История психиатрии (1928)] [омонимия не снята]"
 с братьями страшно, без конца, ; без удержу ;.  ;1985 ;художественная ;роман ;книга ;  И Грибоедов вдруг почувствовал, что Аббас будет резаться за трон свой с братьями страшно, без конца, без удержу.  [Ю. Н. Тынянов. Смерть Вазир-Мухтара (1928)] [омонимия не снята]
 шла, всхлипывая глубоко, со слезами, ; без удержу ; катившимися по щекам, растрепанная ;1928 ;художественная ;рассказ ;книга ; В сумерках раннего вечера она шла, всхлипывая глубоко, со слезами, без удержу катившимися по щекам, растрепанная и жалкая, с бессмысленным, тусклым взглядом и ртом, подергивавшимся судорогами неслышного, страдальческого смеха ? так смеялся в балаганчике папы Гробст бедняга Пумперпикель.  [А. Хованская. Авантюристка (1928)] [омонимия не снята]
 вырывались из его пустой груди ; без удержу ;, вместе с кашлем.  ;1928 ;художественная ;рассказ ;книга ;  Пумперпикель дико смеялся, перекосив лицо, хриплые, лающие звуки вырывались из его пустой груди без удержу, вместе с кашлем.  [А. Хованская. Авантюристка (1928)] [омонимия не снята]
 ее, так как без меня, ; без удержу ; моего, они таких дел ;2001 ;публицистика ,  нехудожественная ;мемуары, очерк ;книга ; Я расскажу вам все, ничего не утаю, назову всю сволочь, со мной орудовавшую, вешайте, убивайте, уничтожайте ее, так как без меня, без удержу моего, они таких дел натворят, что и небушку станет жарко!  [А. Ф. Кошко. Очерки уголовного мира царской России. 1 (1926)] [омонимия не снята]
 время, то опять-таки по старому ? «; без удержу ;».  ;1986 ;публицистика ,  нехудожественная ;мемуары ;книга ;" Он разочаровывался постоянно и любил периоды, когда удавалось жить «без них»; но зато, если чувственная волна со всеми ее обманами захлестывала его на время, то опять-таки по старому ? «без удержу».  [В. С. Чернявский. Три эпохи встреч (1926)] [омонимия не снята]"
 тёмные, я раздосадовалась, разворчалась, расплакалась ; без удержу ;, сперва вознегодовала на Михаила ;2010 ;церковно-богословская, нехудожественная ;беседа ;книга ;  «Однажды, когда мы до того уже дошли зимой, что не было чем осветить комнаты, а вечера длинные, тоскливые, тёмные, я раздосадовалась, разворчалась, расплакалась без удержу, сперва вознегодовала на Михаила Васильевича, потом на самого батюшку, о.  [протоиерей В. П. Свенцицкий. Преподобный Серафим (1925)] [омонимия не снята]
 только будет тогда…   ? Да уж, ; без удержу ;…   ? А удрать тут некуда ;1984 ;художественная ;роман ;книга ;  ? И что только будет тогда…   ? Да уж, без удержу…   ? А удрать тут некуда?  [Д. А. Фурманов. Мятеж (1924)] [омонимия не снята]
 в вихрях закрутиться, без препоны, ; без удержу ;, и все прочь с ;2001 ;публицистика ,  нехудожественная ;мемуары ;книга ; А делать, что хочется, ? это значит на целый свет размахнуться, в вихрях закрутиться, без препоны, без удержу, и все прочь с дороги!  [З. Н. Гиппиус. Маленький Анин домик (1923)] [омонимия не снята]
  И Лениным занялись ; без удержу ;, без отдыха, без стыда ;1991;публицистика ,  нехудожественная ;мемуары ;книга ; И Лениным занялись без удержу, без отдыха, без стыда…  [Н. Н. Суханов. Записки о революции / Книга 3 (1918-1921)] [омонимия не снята]
 хлыстик, сидит полуголый, болтает, врет ; без удержу ;, карточка брата, бывшего штаб-ротмистра ;1990 ;публицистика ,  нехудожественная ;дневник, записные книжки ;книга ; Теряет хлыстик, сидит полуголый, болтает, врет без удержу, карточка брата, бывшего штаб-ротмистра, теперь начдива, женатого на польской княгине, расстрелян деникинцами.  [И. Э. Бабель. Конармейский дневник 1920 года (1920)] [омонимия не снята]
 что «страна великого молчания» ныне ; без удержу ; говорит, говорит и говорит ;1917 ;публицистика ,  нехудожественная ;очерк ;газета ;  Немалого удивления достойно, что «страна великого молчания» ныне без удержу говорит, говорит и говорит.  [Ф. Д. Крюков. Новым строем // «Русские Ведомости», 1917] [омонимия не снята]
 за моей спиною и стал ; без удержу ; выражать свое восхищение по ;2002 ;публицистика ,  нехудожественная ;мемуары ;книга ;  Вошедши в нашу мастерскую, где работало два мастера, хозяин и я, немец Ленник остановился за моей спиною и стал без удержу выражать свое восхищение по поводу того, как у меня ходит в руке кисть (я как раз раскладывал серыми тонами по глобусу).  [И. Е. Репин. Далекое близкое (1912-1917)] [омонимия не снята]
 жарко, мы сбрасывали сюртучки и ; без удержу ; выделывали разные па в ;2002 ;публицистика ,  нехудожественная ;мемуары ;книга ;" Площадка для танцев стала ровной, как паркет; подошвы ботинок от травы были зелены и блестели, как покрытые лаком; становилось жарко, мы сбрасывали сюртучки и без удержу выделывали разные па в пятой фигуре кадрили.  [И. Е. Репин. Далекое близкое (1912-1917)] [омонимия не снята]"
 Васильевич сразу рассердился и начал ; без удержу ; поносить всех этих Юпитеров ;2002 ;публицистика ,  нехудожественная ;мемуары ;книга ;  Владимир Васильевич сразу рассердился и начал без удержу поносить всех этих Юпитеров, Аполлонов и Юнон, ? черт бы их всех побрал!  [И. Е. Репин. Далекое близкое (1912-1917)] [омонимия не снята]
  Я покупаю книги ; без удержу ;, иногда даже страшно становится ; ;публицистика ,  нехудожественная ;дневник, записные книжки ;электронный текст ; Я покупаю книги без удержу, иногда даже страшно становится и грустно.  [С. И. Вавилов. Дневники (1914-1916)] [омонимия не снята]
 княжны, и в ее сердце ; без удержу ; клокотала непримиримая злоба.  ;1994 ;художественная ;роман ;книга ;  Татьяна со злобным презрением оглядывала окружающую обстановку, невольно сравнивая ее с обстановкою комнаты молодой княжны, и в ее сердце без удержу клокотала непримиримая злоба.  [Н. Э. Гейнце. Дочь Великого Петра (1913)] [омонимия не снята]
 голове все, понеслось под гору ; без удержу ;.  ; ;художественная ;повесть ;книга ; Сдвинулось в голове все, понеслось под гору без удержу.  [Е. И. Замятин. На куличках (1913)] [омонимия не снята]
" снега; звенела веселая капель, и "; без удержу ;, как оглашенные, метались и ;1980 ;художественная ;рассказ ;книга ;"  Мирона и Ваську с мышами ослепил во дворе блеск тающего снега; звенела веселая капель, и без удержу, как оглашенные, метались и щебетали воробьи.  [А. С. Серафимович. Мышиное царство (1913)] [омонимия не снята]"
 заставляет людей танцевать, прыгать, болтать ; без удержу ;, кататься по земле, пробовать ;1972 ;художественная ;очерк, цикл ;книга ; Оно заставляет людей танцевать, прыгать, болтать без удержу, кататься по земле, пробовать силу, подымать невероятные тяжести, целоваться, плакать, хохотать, врать чудовищные небылицы.  [А. И. Куприн. Листригоны (1911)] [омонимия не снята]
 все было смелая любовь, любовь ; без удержу ;, выше условности и предубеждений ;2007 ;художественная ;повесть ;книга ; Он гулял с нею, катался верхом, состоял ее «attache», как она смеясь говорила, и читал ей книги, где все было смелая любовь, любовь без удержу, выше условности и предубеждений.  [Л. А. Чарская. Золотая рота (1911)] [омонимия не снята]
 перед ней заскрипел сапожищами, ораторствуя ; без удержу ; и соря папиросой, причем ;1990 ;художественная ;роман ;книга ;" Николай тут же перед ней заскрипел сапожищами, ораторствуя без удержу и соря папиросой, причем его добрые глазки наполнялись слезами, а голос дрожал, несмотря на то, что застигнутая врасплох попадьиха от него бежала переодеться, а рассудительный отец Вукол все больше следил, как бы грачихинский попик не задел сапожищем свернутого холста, как бы не опрокинул плетеную он корзинку с чахоточной пальмой или красного ломберного столика на  трех ногах, на вязаной скатерти которого лежала четвертая ножка; видя отца Николая, разорались ревом попята.  [Андрей Белый. Серебряный голубь (1909)] [омонимия не снята]"
 меня как-то против моей воли, ; без удержу ;, иногда без связи, как ;1983 ;художественная ;роман ;книга ; Нашла своё утоление давно томившая меня жажда назвать вслух, громко, свои чувства, с беспощадностью, в точных терминах, определить своё положение, ? и слова вырывались у меня как-то против моей воли, без удержу, иногда без связи, как у сумасшедшего.  [В. Я. Брюсов. Огненный ангел (1908)] [омонимия не снята]
